white_pawns,white_rooks,white_knights,white_bishops,white_queens,white_kings,black_pawns,black_rooks,black_knights,black_bishops,black_queens,black_kings,turn,score
1141216256,258,4,34359738368,0,2048,1803201217036288,144115188075855872,0,576742227280134144,0,2251799813685248,0,560.0000000000000000
9506048,2,0,0,0,8192,36258079553093632,512,1152921504606846976,4611686018427387904,0,1125899906842624,0,-663.0000000000000000
1342673920,258,4,34359738368,0,2048,1803201217036288,144115188075855872,0,576742227280134144,0,17592186044416,1,631.0000000000000000
1074305536,562949953421320,67108864,131072,0,1048576,8092405580431360,72057594037927936,288230378299195392,36028801313931264,32,576460752303423488,0,-970.0000000000000000
805375488,258,16777220,4194312,134217728,16,86697625721503744,0,288230376151711745,612489549322387456,0,1152921504606846976,0,1754.0000000000000000
18014398517939456,33554432,0,0,0,8192,36170256061825024,0,1152921504606846976,0,0,4398046511104,0,263.0000000000000000
1342673920,258,4,2147483656,536870912,2048,4056098394865664,144115188075855872,0,612489549322387456,0,1152921504606846976,1,1762.0000000000000000
9506048,8589934592,0,0,0,8192,36258079553093632,0,1152921504606846976,35184372088832,0,4398046511104,0,-200.0000000000000000
18014398517939456,33554432,0,0,0,8192,36187710808915968,0,1152921504606846976,0,0,4398046511104,1,269.0000000000000000
1074305536,562949953421312,67108864,131072,0,4194304,3588805953060864,72057594037927936,288230378299195392,274886295552,0,4503599627370496,1,-577.0000000000000000
2251800350625280,258,68719476740,4194312,134217728,16,86697591361765376,0,18014398509481985,36591746972385280,0,576460752303423488,0,1879.0000000000000000
13700864,2,524288,0,0,8192,45208069843451904,144115462953762816,288230376151711744,4611686018427387904,0,576460752303423488,1,-758.0000000000000000
1074305536,144115188075855874,4,139264,0,16,125678577101307904,1,-8935141660703064064,4611686022722355200,2305843009213693952,576460752303423488,0,-758.0000000000000000
5369281024,144115188075855874,4,131136,0,16,125678577101307904,1,-8935141660703064064,4611686018427387936,2305843009213693952,576460752303423488,0,-594.0000000000000000
13733376,258,524288,262144,536870912,16,46333969750294528,144115188075855873,288230376151711744,4611686018427387904,18014398509481984,576460752303423488,0,0.0000000000000000
536940032,258,68719476740,4194312,1152921504741064704,16,86697591361765376,0,18014398509481985,36591746972385280,0,576460752303423488,1,2757.0000000000000000
274886364416,33554432,0,0,0,8192,36187710808915968,0,1152921504606846976,0,0,4398046511104,0,284.0292872269682451
8457472,33554432,0,0,1152921504606846976,8192,36170256061825024,0,0,0,0,1125899906842624,0,1641.0000000000000000
8502784,258,4718592,262152,32,16,47173446878101504,144115188075855873,-8935141660703064064,5188146770730811392,2305843009213693952,4503599627370496,1,4.0000000000000000
5369281024,258,4,131136,32,16,125678577101307904,144115188075855873,-8935141660703064064,4611686018427388032,2305843009213693952,1152921504606846976,0,-263.0000000000000000
8457472,33554432,0,0,4611686018427387904,8192,36170256061825024,0,1152921504606846976,0,0,4398046511104,1,1109.0000000000000000
1342673920,258,4,2199023255560,32,2048,40084895413829632,144115188075855872,2147483648,5188146770730811392,2305843009213693952,1152921504606846976,0,516.0000000000000000
4399120618496,33554688,67108864,34359738368,0,2048,1803201217036288,144115188075855872,0,576742227280134144,0,68719476736,1,641.0000000000000000
1074305536,562949953421344,67108864,131072,0,1048576,3588805953060864,72057594037927936,288230378299195392,36028801313931264,0,4503599627370496,0,128.0000000000000000
130560,258,2199023255680,68727865344,32,16,4638285678604451840,288230376151711745,-9223372036854775808,576460752303423488,2305843009213693952,9007199254740992,1,787.0000000000000000
9506048,64,1152921504606846976,0,0,8192,36258079553093632,512,4503599627370496,4611686018427387904,0,1125899906842624,1,-321.0000000000000000
13733376,258,524288,262144,0,16,45208069843451904,144115188075855873,288230376151711744,4611686018427387904,18014398509481984,576460752303423488,0,-781.0000000000000000
9547264,258,35184372613120,262144,32,16,46892521657204736,144115188075855873,288230376151711744,4611690416473899008,2305843009213693952,1152921504606846976,1,7.0000000000000000
1074305536,562949953421312,67108864,131072,0,4194304,3588805953060864,16777216,288230376420147200,274877972480,0,4503599627370496,0,-562.0000000000000000
8502784,258,4718592,262152,32,16,47173446878101504,144115188075855873,288230925907525632,5188146770730811392,2305843009213693952,4503599627370496,0,-24.0000000000000000
1342673920,258,4,8,72057594037927936,2048,1803201217036288,144115188075855872,0,612489549322387456,0,2251799813685248,0,1464.0000000000000000
809569792,258,16777220,136,4096,16,122726422740467712,134217729,-8935141660703064064,5188146770730811392,70368744177664,1152921504606846976,0,-79.0000000000000000
4399120618496,258,4,34359738368,0,2048,1803201217036288,144115188075855872,0,576742227280134144,0,17592186044416,0,567.0000000000000000
13733376,258,35184372613120,262144,536870912,16,46892521657204736,144115188075855873,288230376151711744,4611690416473899008,2305843009213693952,576460752303423488,1,43.0000000000000000
1074305536,562949953421312,67108864,131072,0,4194304,3588805953060864,72057594037927936,288230376420147200,274877972480,0,4503599627370496,1,-553.0000000000000000
5369272832,144115188075855874,4,139264,0,16,125678577101307904,1,-8935141660703064064,4611686018427387936,2305843009213693952,576460752303423488,1,-664.0000000000000000
